tokens,embedding
article,"[-0.00376307 -0.00632787  0.00248067 ... -0.00530469  0.02071063
 -0.01389864]"
artificial,"[-0.02447643 -0.00867096 -0.00565483 ... -0.01629981  0.00503691
 -0.04668158]"
artificially,"[-0.02504011 -0.01907436  0.00134764 ... -0.00272037  0.00060987
 -0.0332263 ]"
artillery,"[-0.02618857 -0.00242254 -0.00192922 ...  0.01028013 -0.00369909
 -0.00502818]"
asian,"[-0.02245125 -0.00551837  0.02064327 ... -0.00453005 -0.00230719
 -0.00861486]"
ask,"[ 0.00619936 -0.01884443  0.00929905 ... -0.00057991 -0.00669887
 -0.01420517]"
asked,"[-0.00929065 -0.01687745 -0.00548048 ... -0.01958751 -0.0094986
 -0.01067922]"
asks,"[-0.00806643 -0.02888392 -0.00190573 ... -0.01930676  0.01305597
  0.00085541]"
assange,"[-0.02143668 -0.00389385  0.00144653 ... -0.00315949 -0.01045192
  0.00066776]"
assassination,"[-0.03680356  0.00266307 -0.01591181 ... -0.0066277  -0.00392802
 -0.01420745]"
asset,"[-0.01773011 -0.02461807 -0.00700488 ... -0.00986424  0.00992093
 -0.02342756]"
asshole,"[-0.03515338  0.00992867  0.00112312 ... -0.02572934  0.00955511
 -0.01933305]"
assimilated,"[-0.02833016 -0.00346212 -0.00500733 ... -0.00362386 -0.03301055
 -0.00959481]"
assisted,"[-0.04307875 -0.00162153 -0.00397089 ... -0.00585732 -0.01076274
 -0.00836562]"
associate,"[ 0.00115847 -0.01351604  0.02335528 ... -0.0328296  -0.01848042
 -0.01469345]"
association,"[-0.00566358 -0.01124513  0.01863478 ... -0.0327305  -0.00961817
 -0.02737112]"
assumes,"[ 0.00518211 -0.00616632 -0.01928916 ... -0.01981125  0.01187405
 -0.00283799]"
asteroid,"[-0.00750852 -0.01496361 -0.01564498 ...  0.0022078  -0.01667373
 -0.03316042]"
astronaut,"[-0.01182114 -0.01407247  0.00014134 ... -0.00569552 -0.01435473
 -0.01905899]"
astronomical,"[ 5.47553529e-04  5.48649486e-03  1.77914854e-02 ... -8.21119524e-04
  4.07819898e-05 -3.70127633e-02]"
athlete,"[-0.01788978 -0.0116297  -0.00081792 ... -0.0288449   0.0048637
 -0.01101584]"
atlantis,"[-0.0087261  -0.01149107 -0.0120865  ... -0.00600219 -0.01487885
 -0.01149107]"
atmosphere,"[-0.00016999 -0.00577488  0.00135909 ... -0.01038814 -0.00446391
 -0.0322331 ]"
atomic,"[-0.00387169 -0.00421444  0.00680606 ... -0.01051337  0.00042713
 -0.0215024 ]"
atrocity,"[-0.02174068 -0.01195022  0.00057856 ...  0.00063752  0.00083837
 -0.03728832]"
attached,"[-0.01790622 -0.01331996 -0.00042598 ... -0.0222943  -0.02158655
 -0.01981716]"
attachment,"[-0.01164111 -0.00720376  0.00960963 ... -0.00982457 -0.01697286
 -0.01964914]"
attack,"[-0.03076003  0.00206869  0.00629955 ...  0.00096805 -0.01120524
 -0.0107157 ]"
attacks,"[-0.0233316  -0.00181686  0.01471729 ...  0.00182212 -0.00901416
 -0.00953327]"
attempt,"[-0.01716421 -0.00842767 -0.00732457 ... -0.01932628 -0.00918513
 -0.01773782]"
attempting,"[-0.04126484 -0.0002385  -0.00337274 ... -0.02643529  0.00687864
 -0.0162172 ]"
attorney,"[-0.02432265 -0.01767596 -0.00114778 ... -0.01480279 -0.00783171
 -0.01269094]"
attributed,"[-0.02237994 -0.01722533  0.00741426 ... -0.02259652 -0.00651545
 -0.02115265]"
audio,"[-0.00418634 -0.01283014 -0.00064388 ... -0.02115353  0.00419691
 -0.01396386]"
audit,"[-0.00010253 -0.03198025  0.00109255 ...  0.00118656  0.02004186
 -0.01270402]"
august,"[-0.01086752  0.00516291 -0.00588518 ... -0.01092102  0.0071826
 -0.01839119]"
australia,"[-2.46534720e-02 -2.51995511e-02 -2.00450979e-02 ...  4.91138198e-05
 -4.68495861e-03 -2.55058873e-02]"
australian,"[-0.03031878 -0.01041796 -0.00747433 ... -0.00784311  0.00361534
 -0.03964358]"
australians,"[-0.02189906 -0.01225703 -0.00369708 ... -0.00699482  0.00170201
 -0.02803079]"
author,"[ 0.00266842 -0.02144221 -0.01572248 ... -0.02026302  0.00638048
 -0.00720388]"
authorities,"[-0.00038239 -0.0178084  -0.00562658 ...  0.00013006  0.01129413
  0.00787311]"
autism,"[-0.01334968 -0.00691738 -0.00438566 ... -0.01157548 -0.02071891
 -0.01379489]"
auto,"[-0.01382313 -0.02554107 -0.00649332 ... -0.00839286 -0.01544733
  0.01231046]"
autobiography,"[-0.01494211 -0.02227074  0.00529254 ... -0.01798491  0.00442501
 -0.02734639]"
autogenerate,"[-0.04539008 -0.01245233 -0.00469725 ... -0.0021241  -0.00171959
  0.00319862]"
autopsy,"[-0.02304541  0.00183535  0.00673078 ... -0.00319807 -0.00295485
 -0.01261978]"
available,"[-0.00787636 -0.03187277 -0.00020276 ... -0.02711163 -0.00215982
 -0.02661715]"
avatar,"[-0.01592826 -0.02993249 -0.01078834 ... -0.01189466 -0.00042196
 -0.00917352]"
avatars,"[-0.009333   -0.0280728  -0.01082923 ... -0.00770258  0.00991002
 -0.00144759]"
average,"[-0.01369499 -0.00126079  0.02491118 ... -0.01269525  0.0013772
 -0.02408948]"
averted,"[-0.02261936 -0.00509073 -0.00255397 ... -0.00651476 -0.01414398
 -0.02223412]"
avoided,"[-0.0325803   0.00020482  0.00378619 ... -0.0172093  -0.01016013
 -0.02552407]"
awake,"[-0.00900598 -0.01129236 -0.00698545 ...  0.00428033  0.00210693
 -0.02170739]"
awakened,"[-0.00375856 -0.0214889  -0.00679331 ...  0.00142689 -0.00575406
 -0.02350763]"
away,"[ 4.23273584e-03 -1.76491439e-02 -6.35907854e-05 ... -1.30938832e-02
 -6.59016659e-03 -1.61329396e-02]"
az,"[-0.00985762 -0.01293688 -0.00140966 ...  0.00370577 -0.02552718
 -0.02911298]"
b21,"[-0.0249011  -0.01081938  0.00548196 ...  0.00487285 -0.01319386
  0.00044306]"
baby,"[ 0.00567732 -0.0167888  -0.0022748  ...  0.00283866 -0.01114319
  0.00016905]"
back,"[ 0.01814129 -0.02180605 -0.00178763 ... -0.00503028  0.00551821
 -0.02634137]"
backchannel,"[-0.01703556 -0.00547917  0.00550683 ...  0.00237316  0.00560016
 -0.03542622]"
background,"[-0.0011616  -0.00892167  0.00179593 ... -0.01898532  0.01197645
 -0.01798609]"
backlash,"[-0.02223254 -0.01740837  0.00027997 ...  0.00343378  0.0029393
 -0.01954478]"
backwards,"[-0.02217801 -0.00871135 -0.02177502 ... -0.00045379  0.01004123
 -0.00040152]"
bad,"[-0.01884945 -0.0047779   0.00621652 ...  0.00298865  0.00494503
 -0.0174731 ]"
badly,"[-0.02471202 -0.00331606 -0.00873664 ...  0.00958387  0.00116664
 -0.00727263]"
bag,"[-0.00516232 -0.02601669  0.00619131 ... -0.00598968 -0.00986576
 -0.02743503]"
bail,"[-0.01252265 -0.01910987  0.00507909 ... -0.00442731 -0.01083078
  0.00764118]"
bailey,"[-0.02909038 -0.01782565  0.01163073 ... -0.00557136 -0.01956077
 -0.01407074]"
bailout,"[-0.05208435 -0.019552    0.01137818 ...  0.00028747 -0.00238799
 -0.01053635]"
balance,"[ 3.15460097e-03 -1.98570862e-02  2.54480522e-02 ... -3.92212672e-03
 -1.26596069e-05 -4.18547951e-02]"
balearic,"[-0.01862594 -0.00449429  0.01287461 ... -0.00883989 -0.01154998
 -0.00925891]"
balenciaga,"[-0.02119343 -0.00523564  0.00396139 ... -0.00593218  0.01435343
 -0.01486841]"
ballot,"[-2.85856202e-02 -1.20944399e-02 -1.40545971e-03 ... -1.42928101e-02
  8.70702297e-06 -2.39846967e-02]"
ban,"[-0.01568325 -0.00734452  0.01174143 ...  0.01090826 -0.01130034
 -0.01383487]"
banging,"[-0.03132326 -0.00653017  0.00775668 ... -0.02287245  0.01029732
  0.00059051]"
bank,"[-0.0209431  -0.01681917  0.01644181 ... -0.01226398 -0.01307933
 -0.01645529]"
banking,"[-0.01525953 -0.00781849  0.01860261 ... -0.00227646 -0.00429006
 -0.01918225]"
bankman,"[-0.0291226  -0.01540403  0.01668885 ... -0.00745334  0.00109572
 -0.00097398]"
bankmanfried,"[-0.02298247 -0.01481153  0.00132282 ...  0.00033263  0.00159354
  0.00210081]"
bankruptcy,"[-0.02901369 -0.01869535 -0.00239842 ...  0.02264451  0.00522566
 -0.02408057]"
banks,"[-0.01643172 -0.01459012  0.0167458  ... -0.00044613 -0.01621759
 -0.02299871]"
banned,"[-0.03144687 -0.02096897 -0.00088716 ... -0.00952236 -0.01163771
 -0.01374647]"
baphomet,"[-0.02653323 -0.01583756 -0.02002283 ... -0.00244639  0.00643733
 -0.02395564]"
bar,"[-0.00255373 -0.0166944  -0.00278719 ... -0.00584017 -0.00218018
 -0.04068721]"
barack,"[-0.02861891 -0.02979182 -0.01688985 ... -0.01173558 -0.00191738
 -0.00718079]"
base,"[ 0.00983394 -0.02879737  0.00580456 ... -0.01029886 -0.03065709
 -0.0155117 ]"
based,"[-0.01775721 -0.04191193  0.00736124 ... -0.02318416 -0.01719674
 -0.01382711]"
basically,"[-0.02804895 -0.00150201 -0.01323077 ...  0.00667405 -0.03069925
 -0.01225071]"
bathroom,"[-0.00435287  0.0056932  -0.00071005 ... -0.00343379  0.01718172
 -0.0144883 ]"
battery,"[-0.0047561  -0.02579886  0.0108182  ... -0.00263296 -0.01955517
 -0.01630063]"
bay,"[ 0.00284398 -0.02715097  0.00103019 ... -0.0107779  -0.01300497
 -0.02848446]"
bbc,"[-0.00185588 -0.0162696   0.00036384 ...  0.00970928 -0.01889373
 -0.00342345]"
beast,"[-0.03777332 -0.02340733  0.00480404 ... -0.01041863 -0.00556847
 -0.01887348]"
beat,"[-0.02158715 -0.01044992  0.00927167 ... -0.00085651  0.00395554
 -0.03001722]"
beatles,"[-0.03502101 -0.01217496 -0.00575074 ...  0.00592729  0.01497351
 -0.00324317]"
beautification,"[-0.008093    0.00299367  0.01679146 ... -0.00010543 -0.01393906
 -0.01965731]"
beautified,"[-0.02413054  0.00594367  0.02061293 ...  0.01085395 -0.01051862
 -0.0253487 ]"
beautiful,"[-0.01297784 -0.0055516   0.00359801 ...  0.00439063 -0.01316859
 -0.0174178 ]"
became,"[-0.01892332 -0.03477725  0.01325044 ... -0.00433003 -0.0088793
 -0.02460991]"
become,"[-0.01265777 -0.02432697  0.02547586 ... -0.00622201 -0.00499297
 -0.03184816]"
becomes,"[-0.00784998 -0.02849558  0.01498758 ... -0.00390444  0.00358935
 -0.02434454]"
becoming,"[-0.01292482 -0.03019534  0.01258139 ...  0.00451081 -0.00740354
 -0.03030101]"
bed,"[ 0.00596291  0.0041024   0.0057805  ...  0.00441414  0.00625475
 -0.02237914]"
beforehand,"[-0.00747387 -0.01351862 -0.00576781 ... -0.01535803  0.03170072
 -0.01115953]"
began,"[-0.00483957 -0.03449498 -0.01180384 ... -0.01354664 -0.00940835
 -0.0231633 ]"
begin,"[ 0.01653572 -0.01831193 -0.01037535 ... -0.005526    0.0087965
 -0.03394545]"
begun,"[-0.00077858 -0.03332657 -0.01595449 ... -0.01237042 -0.00386158
 -0.02016712]"
behaviour,"[-0.0223549  -0.00224269  0.01735222 ... -0.00075179  0.00528752
 -0.02513125]"
behest,"[-0.01564822 -0.0247924  -0.0280513  ... -0.01294622  0.01845335
 -0.00764535]"
behind,"[-0.01005516 -0.0121022  -0.00172365 ... -0.01026187  0.02389768
 -0.01566952]"
belief,"[ 0.00234238 -0.0104098  -0.01652154 ... -0.01746602  0.01002654
 -0.02395418]"
believe,"[-0.02024492 -0.01069567 -0.01651902 ... -0.00607738  0.01550287
  0.00528921]"
believed,"[-0.01909204 -0.00408298 -0.01167334 ... -0.01779949  0.00329028
  0.00958641]"
believer,"[-0.02598325 -0.01994256 -0.00683026 ... -0.02034251  0.02219058
 -0.01864615]"
believers,"[-0.01637202 -0.01946436 -0.01631847 ... -0.01363443  0.02374813
 -0.0063286 ]"
believing,"[-0.02577433 -0.00997436 -0.01878627 ... -0.01184497  0.01790441
 -0.01544589]"
bell,"[-0.01798879 -0.01103827  0.01493331 ...  0.00685074 -0.00356473
 -0.0199432 ]"
belly,"[-0.02874953 -0.0114164   0.01318881 ...  0.00129998  0.00044962
 -0.02666434]"
ben,"[-0.00625372 -0.00018608 -0.000634   ... -0.00179938 -0.00241325
 -0.03219707]"
benedictione,"[-0.00705568  0.00810927  0.00947555 ... -0.01824417  0.00408523
 -0.01892391]"
benefit,"[-0.01708234 -0.03141169  0.02403366 ... -0.01544431 -0.01241601
 -0.02557534]"
benefits,"[-0.01369092 -0.02645138  0.01866218 ... -0.01600375  0.00392119
 -0.01690762]"
best,"[-0.01969497 -0.00276418  0.01672057 ... -0.00055509 -0.00338442
 -0.01466351]"
better,"[-0.0104507  -0.00578725 -0.00195151 ... -0.01596204  0.00763109
 -0.01631197]"
betting,"[-0.01905105 -0.0135001  -0.00431478 ... -0.02487145  0.00976804
 -0.02543732]"
beyond,"[-0.00389185 -0.0210504  -0.0193008  ... -0.00637849 -0.00071293
 -0.02837947]"
bezos,"[-0.02156321 -0.01394548  0.0004846  ... -0.00869725 -0.01641683
  0.00041479]"
bhakdi,"[-0.02778858  0.00132544  0.00883628 ... -0.00931703  0.00533562
  0.00359207]"
bhakdiburkhardt,"[-0.02035277  0.00343797 -0.00665935 ... -0.0134012   0.00554201
  0.00440748]"
bible,"[-0.02280549 -0.03154453 -0.0127346  ... -0.01560168  0.01783237
 -0.0247475 ]"
bid,"[-0.01067866 -0.01213671  0.01563465 ... -0.0191942  -0.00915216
 -0.04137295]"
biden,"[-0.03841769 -0.03546451 -0.00538889 ... -0.02582713 -0.0001029
 -0.01155563]"
big,"[-0.00655218 -0.0132748   0.01266799 ... -0.00898623 -0.01431797
 -0.04213574]"
biggest,"[-0.0214012  -0.01150744  0.00945065 ... -0.01706276 -0.00627619
 -0.02474762]"
bill,"[-0.01334523 -0.0094009  -0.00839042 ... -0.01641847 -0.00896883
 -0.01746378]"
billboard,"[-0.04086313 -0.01624221 -0.0183979  ... -0.00400632 -0.00726697
 -0.03888369]"
billion,"[-0.02308125 -0.01688568 -0.00115994 ... -0.03081188 -0.01692717
 -0.02525246]"
billionaire,"[-0.03953096 -0.02217989  0.00180229 ... -0.02840008 -0.00792529
 -0.01473203]"
billions,"[-0.00969707 -0.02038517  0.01167915 ... -0.02728117 -0.0109221
 -0.02389511]"
binary,"[-0.01049684 -0.02251237  0.00130652 ... -0.01044473 -0.01275254
 -0.03108851]"
biological,"[-0.01070087  0.00932724  0.01052665 ... -0.0199008  -0.00938755
 -0.0243366 ]"
bioweapon,"[-0.03319564 -0.00555075 -0.01642096 ... -0.01843447  0.00115811
  0.00465963]"
birchall,"[-0.02989163  0.01770844  0.0144071  ... -0.0050418  -0.00945509
 -0.01029079]"
birmingham,"[-0.01779738 -0.01434211 -0.01159297 ... -0.00100093 -0.00415112
  0.00531316]"
bit,"[-0.00715798 -0.01995261  0.01099988 ... -0.02005076 -0.01220572
 -0.03707287]"
bitch,"[-0.03420203 -0.00944064  0.00736799 ... -0.00493149  0.00117277
 -0.01569759]"
bitcoin,"[-0.00769287 -0.02306421  0.0014019  ... -0.01373624  0.00678889
 -0.0138731 ]"
biting,"[-0.01573479  0.00187279  0.00399417 ... -0.00875424  0.01576167
 -0.01800566]"
bivalent,"[-0.03123334 -0.00905294  0.01026278 ... -0.01659011 -0.01074255
 -0.00027313]"
bizarre,"[-0.00867221 -0.01580675  0.01782657 ... -0.00248243 -0.01726623
 -0.02472003]"
black,"[-0.01526994 -0.03133207  0.00861837 ... -0.00676767 -0.00800375
 -0.01484654]"
blackmail,"[-0.03216904 -0.01832481  0.00743188 ...  0.00926973 -0.01408569
 -0.01891507]"
blackouts,"[-0.0136672  -0.02044091  0.01768618 ...  0.00100974 -0.00092157
 -0.0099676 ]"
blackrock,"[-0.01995948 -0.03183481 -0.00037328 ... -0.00473898 -0.00505608
 -0.00649519]"
blade,"[-0.01151264 -0.01637597 -0.01441141 ... -0.00043361 -0.00031598
 -0.01589514]"
blame,"[-0.0312394  -0.01858851 -0.01559295 ... -0.0029989  -0.0043897
 -0.01186188]"
blamed,"[-0.04505329 -0.01343911 -0.01610223 ... -0.00215692 -0.01655523
 -0.00193385]"
blaming,"[-0.03630134 -0.01374477 -0.01129856 ... -0.00080794 -0.00658857
 -0.01728571]"
blatant,"[-0.02575477  0.00445808 -0.00736732 ... -0.01773639  0.00352603
 -0.01327488]"
blew,"[-0.03919408 -0.01202036  0.00366568 ...  0.0035185  -0.00072017
  0.00145436]"
blind,"[-0.00033634 -0.02192309 -0.01011726 ... -0.02267515 -0.0158499
 -0.01634654]"
block,"[-0.01459131 -0.00834935  0.00740139 ... -0.00386476 -0.01834669
 -0.01655286]"
blockchain,"[-0.01851725 -0.01463864 -0.0241614  ... -0.0043339   0.00735407
 -0.01159414]"
blog,"[-0.00862485 -0.00780144  0.00477995 ...  0.01378162  0.01225343
 -0.01649608]"
blood,"[-0.01102589 -0.01449345  0.00341451 ... -0.04235322 -0.00598369
  0.00406427]"
bloodedthe,"[-2.81504877e-02 -1.41818747e-02 -9.12712421e-05 ... -3.83070558e-02
  4.20430842e-05  5.08828042e-03]"
blow,"[-0.03057851 -0.01478416  0.0029094  ...  0.00392128  0.00266197
  0.00036303]"
blower,"[-0.04731737 -0.01545468 -0.01153395 ... -0.00792203  0.01098343
 -0.0104732 ]"
blowing,"[-0.04222164 -0.00111006 -0.00177917 ...  0.00723975  0.00824471
 -0.00134934]"
blue,"[ 0.00539043 -0.00734148  0.00580826 ... -0.01033885 -0.01138862
 -0.00086157]"
bmw,"[-0.01160462 -0.02238462  0.00807336 ... -0.000125    0.00031963
 -0.00959626]"
board,"[-0.0024616  -0.01962467 -0.01192325 ... -0.00685025 -0.00587991
 -0.03497305]"
boat,"[-0.01543497 -0.02661156 -0.00175474 ... -0.02078147 -0.01988143
 -0.00899366]"
bob,"[-0.02149621 -0.03184327 -0.00200859 ... -0.00602576 -0.00466888
 -0.00686462]"
body,"[-0.00828511 -0.00565964 -0.00210888 ... -0.01589014 -0.01980056
 -0.01705411]"
bomb,"[-0.03672145 -0.01699415 -0.00817911 ...  0.00173865 -0.00339782
 -0.0116023 ]"
bombing,"[-4.53132875e-02 -2.23128567e-03 -3.31772305e-03 ... -7.35556590e-04
 -9.23889130e-03  3.55939710e-06]"
bonafide,"[-0.01340128 -0.01894617 -0.00898464 ... -0.02217954  0.00429281
 -0.01377278]"
bonus,"[-0.00868237 -0.01644211  0.0174749  ... -0.02002246  0.00060892
 -0.02394709]"
book,"[-0.00685005 -0.01913023 -0.00494782 ... -0.01833426  0.00182128
 -0.03108325]"
boosted,"[-0.04206968 -0.01232724 -0.01163746 ... -0.01904063 -0.02148559
  0.00230837]"
booster,"[-3.25472243e-02 -2.58350447e-02 -1.60407405e-02 ... -2.30953787e-02
 -1.86077850e-05  3.28074931e-03]"
boosters,"[-0.03970883 -0.01640088 -0.01309181 ... -0.02250993 -0.00072837
  0.01718515]"
boring,"[-0.03079066 -0.00787043  0.00081744 ... -0.00318976 -0.00142532
 -0.01048751]"
bos,"[-0.01015584 -0.03250981 -0.00576563 ... -0.01341377 -0.00243303
 -0.00530021]"
bosmans,"[-0.01556725 -0.02530683  0.00355689 ...  0.0092104   0.01225151
  0.00412291]"
boss,"[-0.02060949 -0.03925747 -0.01780344 ... -0.00979394 -0.0057994
  0.01351944]"
bostonteaparty,"[-0.03305973 -0.01436134 -0.00576227 ... -0.00640669 -0.01203598
 -0.0296501 ]"
bot,"[-0.01406461 -0.04502955 -0.00867104 ... -0.02177379 -0.0124045
 -0.01415723]"
botched,"[-0.04843429 -0.00591389  0.0282442  ... -0.01451933 -0.00392775
 -0.01428647]"
bottom,"[ 0.01376543 -0.02264591  0.00072564 ... -0.01221237 -0.01053616
 -0.01912929]"
bought,"[-0.01268334 -0.02305818 -0.00455661 ... -0.02088389  0.00042215
 -0.00197967]"
bourla,"[-0.02067159 -0.01183186 -0.00756911 ... -0.000795    0.00164293
 -0.00308947]"
boy,"[-0.01237721 -0.0139813   0.00259921 ... -0.00889839 -0.00488487
 -0.00171466]"
brag,"[-0.01581441 -0.01402612 -0.00738006 ... -0.02528971  0.01812318
 -0.02434218]"
brain,"[-0.00833276 -0.00491938  0.00354939 ... -0.0173555  -0.01278442
 -0.02065941]"
brainwash,"[-0.03623164 -0.00911834  0.01314707 ... -0.00807087 -0.02727445
 -0.02491094]"
brainwashed,"[-0.03303612 -0.01022005 -0.00814525 ... -0.00846651 -0.02052041
 -0.01360665]"
brainwashing,"[-0.03693757 -0.00858325  0.00235135 ...  0.01008943 -0.02765056
 -0.02872922]"
brand,"[-0.00704834 -0.01803434 -0.00738398 ... -0.01145312 -0.00649125
 -0.02959126]"
braun,"[-0.00165209 -0.01241589 -0.00212386 ...  0.00714453 -0.01011794
  0.00491274]"
bread,"[-0.00035572 -0.01616931 -0.00065054 ... -0.00025799  0.00497061
 -0.01003998]"
break,"[-0.01646481 -0.02394634  0.01088097 ...  0.00501385  0.00181918
 -0.01391181]"
breakdown,"[-0.02652489 -0.0088393   0.02614696 ...  0.02085598  0.00504953
 -0.00053627]"
breaking,"[-0.02058852 -0.01038555  0.00994316 ...  0.00310899  0.00900221
 -0.00818766]"
breakout,"[-0.02784188 -0.00835677  0.00162697 ...  0.00699906 -0.00020063
 -0.0114511 ]"
breaks,"[-0.01507738 -0.01627176  0.01670736 ... -0.00192331  0.0214287
 -0.00043384]"
breakthrough,"[-0.01748068 -0.02264606 -0.00212879 ... -0.00211295  0.0065834
 -0.00689304]"
breed,"[-0.01259679 -0.01394106 -0.01648534 ... -0.00920661 -0.0034033
 -0.01019022]"
brief,"[-0.01645506 -0.01092144  0.00805395 ... -0.01519142  0.00234849
 -0.01412913]"
briefer,"[-0.03185118 -0.00921419 -0.00636185 ... -0.01362554 -0.00430998
 -0.01178689]"
brigade,"[-0.01704177 -0.0268012  -0.01589122 ... -0.0126832  -0.01849012
 -0.00719436]"
bright,"[-3.51713461e-05  1.87153215e-04 -4.35152603e-03 ... -3.03000193e-02
 -1.75189087e-03 -1.97715834e-02]"
bring,"[-0.00645599 -0.01628269  0.02135234 ... -0.01242948  0.00039925
 -0.02595988]"
brings,"[ 0.00560718 -0.0291204   0.01491599 ... -0.01848762  0.00964066
 -0.02554877]"
british,"[-0.01301876 -0.00560148 -0.00442808 ...  0.0046018  -0.00374633
 -0.02325809]"
brits,"[-0.01615872 -0.01466653 -0.02050087 ... -0.00085112 -0.01423634
 -0.00296591]"
brittany,"[-0.02501388 -0.00481394 -0.0058778  ...  0.00265132 -0.01656953
 -0.00336444]"
broad,"[-0.02827157 -0.02158114  0.00110641 ... -0.01552789 -0.01857529
 -0.01306227]"
broadcast,"[-0.01845049 -0.01520014  0.00638461 ... -0.00878139 -0.01027683
  0.00065639]"
broke,"[-0.03601582 -0.02643714 -0.00075945 ... -0.01242491  0.00598667
 -0.01995101]"
brother,"[-0.00172001 -0.03475968  0.00887604 ... -0.02425989  0.01298995
 -0.01119292]"
brothers,"[ 0.00211927 -0.03421894  0.00416089 ... -0.02228631  0.0007741
 -0.0031967 ]"
brought,"[-0.0004458  -0.02339266  0.01207721 ... -0.01822661 -0.00484058
 -0.01958391]"
brujas,"[-0.02620006 -0.01027733  0.00832525 ... -0.01037936  0.01080786
  0.00539373]"
btw,"[-0.01109943 -0.00382134 -0.02608771 ... -0.01429963 -0.01659513
 -0.04377658]"
buckingham,"[-0.03590596 -0.01182769  0.00861498 ...  0.00562054 -0.00186214
 -0.00657548]"
buffalo,"[-0.02229875 -0.01173443 -0.0048899  ...  0.00162553  0.01767146
 -0.01635507]"
bug,"[-0.00306766 -0.00570538  0.00416186 ... -0.00519087 -0.01774694
 -0.02900969]"
build,"[-0.01214012 -0.0088305   0.00358785 ... -0.01148547 -0.0163517
 -0.01334031]"
building,"[-0.00940436 -0.01477627 -0.00417345 ... -0.02467411 -0.01106105
 -0.02191061]"
built,"[-0.00757366 -0.02583708 -0.00680861 ... -0.01696388 -0.02090442
 -0.01834726]"
bullshit,"[-0.03785551 -0.00122529 -0.00768525 ... -0.01474666 -0.00629155
 -0.00380281]"
bunch,"[-0.02501989 -0.0186547   0.00879003 ... -0.02309105 -0.00779116
 -0.01515522]"
buoy,"[-0.02765938 -0.0280424   0.00939079 ... -0.00942498 -0.00471933
 -0.00669256]"
burger,"[-0.01318223 -0.01555477  0.00497833 ... -0.00821724  0.01979334
 -0.00730421]"
burn,"[ 0.00269928 -0.02499127  0.00547257 ... -0.00484532 -0.00368949
 -0.0323914 ]"
